country,country_code,year,electricity_access,gdp_per_capita,life_expectancy,population,poverty_headcount,primary_enrollment,secondary_enrollment
Afghanistan,AFG,1960,,,32.799,9035043.0,,,
Afghanistan,AFG,1961,,,33.291,9214083.0,,,
Afghanistan,AFG,1962,,,33.757,9404406.0,,,
Afghanistan,AFG,1963,,,34.201,9604487.0,,,
Afghanistan,AFG,1964,,,34.673,9814318.0,,,
Afghanistan,AFG,1965,,,35.124,10036008.0,,,
Afghanistan,AFG,1966,,,35.583,10266395.0,,,
Afghanistan,AFG,1967,,,36.042,10505959.0,,,
Afghanistan,AFG,1968,,,36.51,10756922.0,,,
Afghanistan,AFG,1969,,,36.979,11017409.0,,,
Afghanistan,AFG,1970,,,37.46,11290128.0,,,8.36410045623779
Afghanistan,AFG,1971,,,37.932,11567667.0,,,9.37827014923096
Afghanistan,AFG,1972,,,38.423,11853696.0,,,10.4142398834228
Afghanistan,AFG,1973,,,38.951,12157999.0,,,10.9321804046631
Afghanistan,AFG,1974,,,39.469,12469127.0,,26.82221,11.0948801040649
Afghanistan,AFG,1975,,,39.994,12773954.0,,,11.5955896377563
Afghanistan,AFG,1976,,,40.518,13059851.0,,,12.4582595825195
Afghanistan,AFG,1977,,,41.082,13340756.0,,,13.2592697143555
Afghanistan,AFG,1978,,,40.086,13611441.0,,,13.8213396072388
Afghanistan,AFG,1979,,,38.844,13655567.0,,,
Afghanistan,AFG,1980,,,39.258,13169311.0,,,16.732780456543
Afghanistan,AFG,1981,,,39.406,11937581.0,,,20.0920791625977
Afghanistan,AFG,1982,,,36.058,10991378.0,,,12.295000076294
Afghanistan,AFG,1983,,,36.517,10917982.0,,,
Afghanistan,AFG,1984,,,31.473,11190221.0,,,13.6493997573853
Afghanistan,AFG,1985,,,32.132,11426852.0,,,13.4969701766968
Afghanistan,AFG,1986,,,38.4,11420074.0,,,12.1385698318481
Afghanistan,AFG,1987,,,38.831,11387818.0,,,
Afghanistan,AFG,1988,,,43.238,11523298.0,,,13.2139596939087
Afghanistan,AFG,1989,,,44.496,11874088.0,,,12.6811199188232
Afghanistan,AFG,1990,,,45.118,12045660.0,,,11.0395498275757
Afghanistan,AFG,1991,,,45.521,12238879.0,,,17.1836109161377
Afghanistan,AFG,1992,,,46.569,13278974.0,,,
Afghanistan,AFG,1993,,,51.021,14943172.0,,26.766,17.4169101715088
Afghanistan,AFG,1994,,,50.969,16250794.0,,,23.4685802459717
Afghanistan,AFG,1995,,,52.103,17065836.0,,,23.0545196533203
Afghanistan,AFG,1996,,,52.83,17763266.0,,,
Afghanistan,AFG,1997,,,53.212,18452091.0,,,
